model_name,primary_entity_type,example_count,corpus_bleu,average_sentence_bleu,average_sentence_chrf,normalized_reference_exact_match_rate
entity_aware_mt,Artwork,168,17.6851,36.8688,46.0086,0.0179
entity_aware_mt,Book,24,34.7555,48.9759,58.6071,0.125
entity_aware_mt,Book series,6,32.7448,39.3413,53.5411,0.0
entity_aware_mt,Fictional entity,56,18.2122,35.4912,46.8348,0.0179
entity_aware_mt,Food,33,17.4557,33.6584,43.1632,0.0303
entity_aware_mt,Landmark,36,30.6643,46.3764,55.1861,0.0278
entity_aware_mt,Movie,78,20.3214,33.4002,37.6956,0.0
entity_aware_mt,Musical work,75,19.9639,35.3925,37.5248,0.0133
entity_aware_mt,Person,77,22.7904,38.0606,50.1524,0.013
entity_aware_mt,Place of worship,72,19.8448,42.604,49.996,0.0139
entity_aware_mt,TV series,120,20.1393,35.1289,41.0942,0.0083
gpt4o,Artwork,168,16.8969,35.794,51.3075,0.1131
gpt4o,Book,24,37.7176,51.8816,61.1399,0.1667
gpt4o,Book series,6,12.01,21.4232,43.7514,0.0
gpt4o,Fictional entity,56,34.2002,45.1728,59.2523,0.0893
gpt4o,Food,33,30.9111,43.6769,55.9814,0.0909
gpt4o,Landmark,36,36.8723,48.0316,58.3838,0.0556
gpt4o,Movie,78,13.5319,31.976,46.338,0.0897
gpt4o,Musical work,75,35.6335,52.9091,63.1745,0.2133
gpt4o,Person,77,29.265,44.7936,58.7122,0.0909
gpt4o,Place of worship,72,30.5209,47.5998,59.6564,0.0694
gpt4o,TV series,120,22.7675,36.5861,49.2354,0.0667
gpt4o_mini,Artwork,168,16.0767,35.9728,50.4074,0.119
gpt4o_mini,Book,24,39.1209,51.153,59.9873,0.125
gpt4o_mini,Book series,6,24.9167,29.6335,48.399,0.0
gpt4o_mini,Fictional entity,56,26.4709,40.6699,55.5451,0.0714
gpt4o_mini,Food,33,29.2295,43.211,57.134,0.0303
gpt4o_mini,Landmark,36,29.9328,48.2198,56.6301,0.1111
gpt4o_mini,Movie,78,11.6874,30.9672,43.2036,0.0513
gpt4o_mini,Musical work,75,19.7,45.1916,58.1431,0.0933
gpt4o_mini,Person,77,24.4637,41.5195,54.621,0.0779
gpt4o_mini,Place of worship,72,21.9209,45.7398,56.7622,0.0833
gpt4o_mini,TV series,120,19.1664,34.5525,47.8017,0.0583
vanilla_mt,Artwork,168,10.9137,29.4645,33.9294,0.006
vanilla_mt,Book,24,27.87,42.4938,49.2652,0.0
vanilla_mt,Book series,6,12.8477,22.0632,35.2635,0.0
vanilla_mt,Fictional entity,56,10.2844,28.0002,37.554,0.0
vanilla_mt,Food,33,11.4076,30.8268,37.2929,0.0
vanilla_mt,Landmark,36,11.3762,32.0,39.1833,0.0278
vanilla_mt,Movie,78,5.626,23.8263,20.9575,0.0
vanilla_mt,Musical work,75,10.5845,27.7169,26.2612,0.0
vanilla_mt,Person,77,13.5296,32.0937,37.7236,0.013
vanilla_mt,Place of worship,72,6.9167,31.2008,33.1693,0.0
vanilla_mt,TV series,120,12.7946,26.8972,31.2736,0.0
