model_name,primary_entity_type,example_count,acceptable_count,disagreement_count,disagreement_rate
gpt4o,Book series,6,4,5,0.8333
gpt4o,Food,20,13,16,0.8
gpt4o,Landmark,19,18,15,0.7895
gpt4o,Movie,19,15,12,0.6316
gpt4o,TV series,19,17,11,0.5789
gpt4o,Musical work,19,15,10,0.5263
gpt4o,Place of worship,19,16,10,0.5263
gpt4o,Artwork,20,13,10,0.5
gpt4o,Book,20,17,10,0.5
gpt4o,Fictional entity,20,15,10,0.5
gpt4o,Person,19,17,9,0.4737
gpt4o_mini,Landmark,19,14,16,0.8421
gpt4o_mini,Place of worship,19,12,16,0.8421
gpt4o_mini,Book series,6,1,5,0.8333
gpt4o_mini,Musical work,19,14,15,0.7895
gpt4o_mini,Fictional entity,20,12,15,0.75
gpt4o_mini,Food,20,11,15,0.75
gpt4o_mini,TV series,19,3,14,0.7368
gpt4o_mini,Movie,19,9,13,0.6842
gpt4o_mini,Person,19,9,13,0.6842
gpt4o_mini,Artwork,20,11,13,0.65
gpt4o_mini,Book,20,13,11,0.55
