model_name,quality_label,count,rate
gpt4o,correct,118,0.59
gpt4o,acceptable_alias,42,0.21
gpt4o,partial_entity_error,15,0.075
gpt4o,wrong_rendering_strategy,19,0.095
gpt4o,incorrect_entity,4,0.02
gpt4o,hallucinated_entity,0,0.0
gpt4o,omitted_entity,2,0.01
gpt4o_mini,correct,62,0.31
gpt4o_mini,acceptable_alias,47,0.235
gpt4o_mini,partial_entity_error,30,0.15
gpt4o_mini,wrong_rendering_strategy,46,0.23
gpt4o_mini,incorrect_entity,11,0.055
gpt4o_mini,hallucinated_entity,3,0.015
gpt4o_mini,omitted_entity,1,0.005
