field,overlap_count,agreement_count,percent_agreement,cohen_kappa
target_rendering_strategy,30,12,0.4,0.194
official_korean_title_preferred,30,19,0.6333,0.0884
preserve_english_preferred,30,29,0.9667,0.0
adaptation_needed,30,18,0.6,0.1589
gpt4o_entity_correct,30,25,0.8333,0.635
gpt4o_rendering_strategy,30,18,0.6,0.4504
gpt4o_quality_label,30,22,0.7333,0.5572
gpt4o_metric_likely_miss,30,25,0.8333,0.625
gpt4o_mini_entity_correct,30,22,0.7333,0.5556
gpt4o_mini_rendering_strategy,30,23,0.7667,0.5946
gpt4o_mini_quality_label,30,21,0.7,0.5485
gpt4o_mini_metric_likely_miss,30,22,0.7333,0.5349
preferred_model,30,20,0.6667,0.5253
