field_group,field,overlap_count,agreement_count,percent_agreement,cohen_kappa
target_strategy,target_rendering_strategy,30,12,0.4,0.194
target_strategy,official_korean_title_preferred,30,19,0.6333,0.0884
target_strategy,preserve_english_preferred,30,29,0.9667,0.0
target_strategy,adaptation_needed,30,18,0.6,0.1589
model_output_judgment,gpt4o_entity_correct,30,25,0.8333,0.635
model_output_judgment,gpt4o_rendering_strategy,30,18,0.6,0.4504
model_output_judgment,gpt4o_quality_label,30,22,0.7333,0.5572
model_output_judgment,gpt4o_metric_likely_miss,30,25,0.8333,0.625
model_output_judgment,gpt4o_mini_entity_correct,30,22,0.7333,0.5556
model_output_judgment,gpt4o_mini_rendering_strategy,30,23,0.7667,0.5946
model_output_judgment,gpt4o_mini_quality_label,30,21,0.7,0.5485
model_output_judgment,gpt4o_mini_metric_likely_miss,30,22,0.7333,0.5349
model_preference,preferred_model,30,20,0.6667,0.5253
