summary_type,model_name,target_rendering_strategy,human_acceptance_label,count,total,proportion
target_strategy_distribution,,translate,all,104,200,0.52
target_strategy_distribution,,transliterate,all,66,200,0.33
target_strategy_distribution,,adapt,all,25,200,0.125
target_strategy_distribution,,preserve,all,5,200,0.025
acceptability_by_target_strategy,gpt4o,adapt,acceptable,20,25,0.8
acceptability_by_target_strategy,gpt4o,adapt,borderline,4,25,0.16
acceptability_by_target_strategy,gpt4o,adapt,unacceptable,1,25,0.04
acceptability_by_target_strategy,gpt4o,preserve,acceptable,4,5,0.8
acceptability_by_target_strategy,gpt4o,preserve,borderline,1,5,0.2
acceptability_by_target_strategy,gpt4o,preserve,unacceptable,0,5,0.0
acceptability_by_target_strategy,gpt4o,translate,acceptable,78,104,0.75
acceptability_by_target_strategy,gpt4o,translate,borderline,19,104,0.1827
acceptability_by_target_strategy,gpt4o,translate,unacceptable,7,104,0.0673
acceptability_by_target_strategy,gpt4o,transliterate,acceptable,58,66,0.8788
acceptability_by_target_strategy,gpt4o,transliterate,borderline,6,66,0.0909
acceptability_by_target_strategy,gpt4o,transliterate,unacceptable,2,66,0.0303
acceptability_by_target_strategy,gpt4o_mini,adapt,acceptable,7,25,0.28
acceptability_by_target_strategy,gpt4o_mini,adapt,borderline,14,25,0.56
acceptability_by_target_strategy,gpt4o_mini,adapt,unacceptable,4,25,0.16
acceptability_by_target_strategy,gpt4o_mini,preserve,acceptable,3,5,0.6
acceptability_by_target_strategy,gpt4o_mini,preserve,borderline,0,5,0.0
acceptability_by_target_strategy,gpt4o_mini,preserve,unacceptable,2,5,0.4
acceptability_by_target_strategy,gpt4o_mini,translate,acceptable,61,104,0.5865
acceptability_by_target_strategy,gpt4o_mini,translate,borderline,29,104,0.2788
acceptability_by_target_strategy,gpt4o_mini,translate,unacceptable,14,104,0.1346
acceptability_by_target_strategy,gpt4o_mini,transliterate,acceptable,38,66,0.5758
acceptability_by_target_strategy,gpt4o_mini,transliterate,borderline,23,66,0.3485
acceptability_by_target_strategy,gpt4o_mini,transliterate,unacceptable,5,66,0.0758
